0,UserPrompt,DetailsNode
200,A community college is a type,A community college is a type of educational institution. The term can have different meanings in different countries: many community colleges have an “open enrollment” for students who have graduated from high school (also known as senior secondary school). The term usually refers to a higher educational institution that provides workforce education and college transfer academic programs.  Some institutions maintain athletic teams and dormitories similar to their university counterparts.
201,Jack Owen born December 6 1967,"Jack Owen (born December 6, 1967) is an American musician, best known as a renowned guitarist in the death metal genre. He is currently the guitarist for death metal band Six Feet Under. He was one of the founding members of Cannibal Corpse. He stayed with the band from their formation in 1988 until 2004 when he left because he wanted to move on, as stated in the Centuries of Torment DVD. Later that year though, he was hired by Deicide—another influential and long-running Florida death metal band—with whom he recorded four albums. He left the band in 2016.In 2007, Owen played shows with Adrift before joining Order of Ennead at times when their guitarist, John Li, was unavailable. In 2009 Owen played guitar for a white power band Attack on their album Fade Away, though at the time he was unaware of their racist beliefs."
202,CJBK is a radio station broadcasting,"CJBK is a radio station, broadcasting in London, Ontario, Canada at 1290 kHz. The station, owned by Bell Media, has an antenna system input power of 10,000 watts, as a class B station. The station airs a news, talk and sports format. It broadcasts the Western Ontario Mustangs college football team, serving as its flagship station. As of 2016, it also broadcasts Toronto Maple Leaf games.Minor co-channel interference is common on CJBK at night from WHIO in Dayton, Ohio, which also broadcasts on 1290 AM (1290 kHz)."
203,The Chicago Majors was a basketball,"The Chicago Majors was a basketball team based in Chicago, Illinois, that was a member of the American Basketball League from 1961 to 1963."
204,Satyajit Ray Film and Television Institute,"Satyajit Ray Film and Television Institute (SRFTI) is a film and television institute located in Kolkata, West Bengal, India. The institute was established in 1995, and registered as a Society on 18 August 1995 under the West Bengal Societies Registration Act, 1961 and currently is an autonomous society funded by Ministry of Information and Broadcasting, Govt. of India.It has been named after the acclaimed film director, Satyajit Ray. SRFTI is the premier institute of India for film training which stands inline with Film and Television Institute of India (FTII) for its quality of education and reputation in the Indian film industry and a member of CILECT (International Liaison Centre of Schools of Cinema and Television), an organization of the world's leading schools of film and television.  In  2014, the NDA government proposed to give 'Centre of National Excellence' status to  SRFTI."
205,The Madagascan bigheaded turtle Erymnochelys madagascariensis,"The Madagascan big-headed turtle (Erymnochelys madagascariensis) is a turtle native to the waters of permanent slow moving rivers and lakes in western Madagascar. These turtles are critically endangered and have been evaluated to be the most endangered turtle in the world by a 2018 review. Despite their vulnerability to extinction, they are commonly eaten for food and they are still commonly shipped from Madagascar to Asia to help meet the demand of Asia's traditional medicine market. A captive breeding program has also been started to prevent the species from becoming extinct. The Turtle Conservation Fund (TCF) intends to raise US$5.6 million to cover a five-year 'Global Action Plan' which includes captive breeding and reintroduction projects, trade monitoring, new rescue centers, local conservation plans, and educational programs."
206,cryptlib is an opensource crossplatform software,"cryptlib is an open-source cross-platform software security toolkit library. It is distributed under the Sleepycat License, a free software license compatible with the GNU General Public License. Alternatively, cryptlib is available under a standard commercial license for those preferring to use it under commercial terms."
207,WOGR may refer toWOGR AM a,"WOGR may refer to:WOGR (AM), a radio station (1540 AM) licensed to Charlotte, North Carolina, United StatesWOGR-FM, a radio station (93.3 FM) licensed to Salisbury, North Carolina, United States"
208,Silje Nes born November 25 1980,"Silje Nes (born November 25, 1980 in Leikanger) is a Norwegian multi-instrumentalist, singer and sound artist. She has released two albums on British label Fat Cat Records. She released her first album, Ames Room, in December 2007. Nes' second album, Opticks, was released on September 12, 2010. As a sound artist she creates sound installations that take form as environments developing over time.Nes has a background as a classical pianist. On her albums she plays all instruments, arranges, and produces."
209,Zielone ʑɛˈlɔnɛ is a settlement in,"Zielone [ʑɛˈlɔnɛ] is a settlement in the administrative district of Gmina Augustów, within Augustów County, Podlaskie Voivodeship, in north-eastern Poland. It lies approximately 11 kilometres (7 mi) south-east of Augustów and 74 km (46 mi) north of the regional capital Białystok."
210,Danylo Nechay Ukrainian Данило Нечай Polish,"Danylo Nechay (Ukrainian: Дани́ло Неча́й, Polish: Danylo Nieczaj or Neczaj) (1612 – February 20, 1651) was a Ukrainian Cossack military commander and activist, a leader during the Cossack-Polish War, Colonel of Bratslav in Podolia from 1648–51 and the brother of Ivan Nechay. Nechay was thought to have been born in the Podolian town Bar to a noble family. He was honoured for his role in the battles for Medzhybizh and Zbarazh and in the Battle of Zborov (Zboriv) in 1649. In 1651 he commanded the south-western front. He was opposed to the signing of the Treaty of Zboriv in 1649; he believed it compromised the position of the Cossacks. With Tymish Khmelnytsky he took part in the campaign against Moldavia, and captured the city of Iaşi in September 1650. He died in battle with numerically superior Polish forces, led by Polish hetman Marcin Kalinowski, who stole the Nechay coat of arms/ made a copy and changed it. This matter was in the town of Krasne, in the Podil region. Nechay is Ukrainian folk hero, he is often sung about in folk songs like ideal Cossack's knight.A granite obelisk was erected on his grave in 1954."
211,Old Partner Korean 워낭 소리 RR,"Old Partner (Korean: 워낭 소리; RR: Wonang Sori; lit. ""Cowbell Sound"") is a 2008 South Korean documentary film directed by Lee Chung-ryoul. Set in the small rural town of Hanul-ri in Sangun-myeon, Bonghwa County, North Gyeongsang Province, the film focuses on the relationship between a 40-year-old cow and an old farmer in his 80s.The film was a surprise success. It attracted over 2.93 million viewers, setting the record for the highest grossing independent film in Korean film history. It won the PIFF Mecenat Award at the Pusan International Film Festival and the Audience Award at the Korean Independent Film Awards. Lee Chung-ryoul became the first independent film director to receive the Best New Director award at the Baeksang Arts Awards."
212,The 1974 World Figure Skating Championships,"The 1974 World Figure Skating Championships were held at the Olympiahalle in Munich, West Germany from March 5 to 10. At the event, sanctioned by the International Skating Union, medals were awarded in men's singles, ladies' singles, pair skating, and ice dance.The ISU Representative was Jacques Favart of France and the ISU Technical Delegate was Josef Dědič of Czechoslovakia."
213,Brigadier General Thomas V Draude born,"Brigadier General Thomas V. Draude (born April 25, 1940) is a retired officer of the United States Marine Corps.  Since retirement, Draude served with USAA and the Marine Corps University Foundation. He is currently an adjunct faculty member of St. Leo University in Saint Leo, Florida, teaching on The Vietnam War, The Middle East and Modern Wars, and The Gulf Wars. He is also an adjunct faculty member at University of South Florida, teaching Why We Fight and How We Fight U.S. Wars."
214,Halil Altındere born in 1971 in,"Halil Altındere (born in 1971 in Mardin, lives in Istanbul) is a contemporary artist. His work includes  video, sculpture, photography, installation, performance, as well as collaborative editorial and curatorial projects.The themes of his work mix traditional with the modern, Western with Eastern. His works point explore issues within contemporary societies and issues that cross social debates. His later work explores the everyday life and the humorous codes of subcultures in Istanbul. His work has been showcased in major international exhibitions including Documenta 12 (2007), Manifesta 4 (2002), Kwangju Biennial (2002), Sao Paulo Biennial (1998), Istanbul Biennial (1997)."
215,Amaury Vassili born 8 June 1989,"Amaury Vassili (born 8 June 1989 in Rouen, Upper Normandy) is a French opera singer and professional tenor. His debut album Vincerò from 2009 went double platinum in France, and he has had international success with releases in Canada, South Africa and South Korea."
216,Revolving Door is a song by,"""Revolving Door"" is a song by American rap rock band Crazy Town. It was released in August 2001 as the fourth and final single from their debut album The Gift of Game. It was the follow up single to their No. 1 hit Butterfly. Whilst failing to chart in the US, the song became a minor hit in several countries, reaching No. 19 in Finland and No. 23 in the UK."
217,Walter A Dods Jr is an,"Walter A. Dods Jr. is an American business executive, banker and philanthropist. He is past Chairman of Hawaiian Telcom (NASDAQ: HCOM) and Alexander & Baldwin (NYSE: ALEX) as well as past President of the American Bankers Association. He serves as the Chairman of Matson, Inc. (NYSE: MATX)."
218,The Ordinariate of Brazil for the,"The Ordinariate of Brazil for the faithful of the Eastern rite or Brazil of the Eastern Rite (Portuguese: Ordinariato para os Fiéis de Ritos Orientais no Brasil) is an Ordinariate (pseudo-diocese of the Catholic Church) for the Eastern Catholics in Brazil without proper jurisdiction of their own particular churches sui iuris.It is exempt, i.e. immediately subject to the Holy See and its Roman Congregation for the Oriental Churches, not part of any ecclesiastical province. The Ordinariate is headquartered Rua Cosme Velho 470, 20241-090 Rio de Janeiro, Rio de Janeiro state, Brazil and currently governed by Walmor Oliveira de Azevedo, (Latin) Metropolitan Archbishop of Belo Horizonte, but not vested in a particular see."
219,BarisisauxBois formerly called Barisis until 3,"Barisis-aux-Bois, formerly called Barisis until 3 December 2014, is a French commune in the department of Aisne in the Hauts-de-France region of northern France.The inhabitants of the commune are known as Barisiens or Barisiennes"
220,John Wentworth Pardoe born 27 July,John Wentworth Pardoe (born 27 July 1934) is a retired British businessman and Liberal Party politician.
221,Gamerz Heaven ゲーマーズヘブン is a manga,"Gamerz Heaven (ゲーマーズヘブン!) is a manga by Maki Murakami, author of the popular manga Gravitation."
222,Susan Erica Fear  18 March,"Susan Erica Fear  (18 March 1963 – 28 May 2006) was an Australian mountain climber, supporter of the Fred Hollows Foundation and a 2005 recipient of the Order of Australia Medal. Her life and climbing career is illustrated in her biography Fear No Boundary: The Road to Everest and Beyond, written by fellow climber Lincoln Hall and Fear, published in 2005."
223,The friendly leafeared mouse Phyllotis amicus,The friendly leaf-eared mouse (Phyllotis amicus) is a species of rodent in the family Cricetidae. It is found only in Peru.
224,Wierzchowice vjɛʂxɔˈvitsɛ German Haselquell until 1937,"Wierzchowice [vjɛʂxɔˈvit͡sɛ] (German: Haselquell; until 1937: Würchwitz) is a village in the administrative district of Gmina Wądroże Wielkie, within Jawor County, Lower Silesian Voivodeship, in south-western Poland. It lies approximately 2 kilometres (1 mi) north-east of Wądroże Wielkie, 15 km (9 mi) north-east of Jawor, and 48 km (30 mi) west of the regional capital Wrocław."
225,The 1994 Dubai Open was the,"The 1994 Dubai Open was the second edition of this men's tennis tournament and was played on outdoor hard courts. The tournament was part of the World Series of the 1994 ATP Tour. It took place in Dubai, United Arab Emirates from 31 January through 7 February 1994. Magnus Gustafsson won the singles title."
226,Chontali District is one of twelve,Chontali District is one of twelve districts of the province Jaén in Peru.
227,Zelia TrebelliBettini 18361892 also known as,"Zelia Trebelli-Bettini (1836–1892) also known as Zelia Gilbert or by her stage name Trebelli, was a French opera singer.Mme Trebelli's artistry was greatly admired by George Bernard Shaw, who wrote about her a number of times in his various reviews.  In particular, he admired her interpretations and her exemplary English diction, rare for a non-native English speaker.Her daughter Antonia (originally Antoinette) Dolores Trebelli (c. 1864 – ) was a distinguished soprano, and as ""Mademoiselle Dolores"" was well received in Australia and New Zealand."
